Subject Name,Scientific Name,Num. of Counties,Habit
smooth bedstraw,Cruciata laevipes Opiz,1,Forbs/Herbs
piedmont bedstraw,Cruciata pedemontana (Bellardi) Ehrend.,250,Forbs/Herbs
common crupina,Crupina vulgaris Cass.,31,Forbs/Herbs
Japanese cedar,Cryptomeria japonica (L. f.) D. Don,6,Conifer Trees
Palay rubbervine,Cryptostegia grandiflora (Roxb. ex R. Br.) R. Br.,3,Vines
Madagascar rubbervine,Cryptostegia madagascariensis Bojer ex Dcne.,12,Vines
Chinese fir,Cunninghamia lanceolata (Lamb.) Hook.,27,Conifer Trees
carrotwood,Cupaniopsis anacardioides (A. Rich.) Radlk.,29,Hardwood Trees
tarweed cuphea,Cuphea carthagenensis (Jacq.) J.F. Macbr.,213,Forbs/Herbs
Arizona cypress,Cupressus arizonica Greene,32,Conifer Trees
Monterey cypress,Cupressus macrocarpa Hartw. ex Gord.,12,Conifer Trees
